author,date,region,archaic_sentence,modern_translation
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, dei dieci compagni, si riservò di parlare all’ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Cose che sapevo essere state fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corvino, nipote di Ortensio, condusse una vita più dissoluta e viziosa."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Allo stesso modo, anche se un amante chiama merda alla propria donna, lei si difende nel proprio discorso."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Ricordo che, essendo adirato, scagliai la mia donna. Quanti giorni questa rabbia mi tolse!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Colui di cui tu ti lamentavi perché amava la tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi dei congiurati, poiché la donna non pronunciava i loro nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Certo quando egli si mosse, disse a lei: “Oh, fedelissima mia donna, prega affinché io possa essere raccomandato presso il nostro ospite troiano”."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu repressa la malvagità di una donna in tale menzogna nello stesso periodo di questo signore della repubblica, in questo modo."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentavano dell’ingiustizia di Appio e piangevano la sventurata bellezza della fanciulla e la necessità del padre.
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Nella quale battaglia, certo io ebbi sempre ardimento di ragionare di pace e sempre mi dolsi che non solo la pace fosse disprezzata, ma anche che gli uomini fossero così stolti da rifiutare ogni ragionevole soluzione."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda, per la sua grande prudenza, a volte fa temere; la prima, per l'audacia, porta gli altri alla pazzia."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Andò nel campo dei Cartaginesi e tutta la legione lo seguì.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Questa è quella, la quale diede coraggio al profeta Natan ad affrontare con grande autorità il re, il quale aveva peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.",Passarono le armi insieme ai nemici; perciò chiunque non avesse avuto coraggio di questo e così avevano questo animo.
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Ragionevolmente, Iob viene interpretato dolorosamente."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che sopra tutti gli altri perdona ai cittadini, e di cui potete maggiormente fidarvi, egli fu vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Invano ci si chiede chi abbia scritto questo libro; infatti, si deve credere che l'autore dello stesso fosse lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Certo sarebbe molto più credibile se non fosse così usata: infatti, è più facile credere che lo spirito umano possa elevarsi fino a Dio, piuttosto che accettare l’immutabilità del divino."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che prendessero la paga dal camerlengo per loro disposizione ed immediatamente si recassero alla presenza di messer lo papa per contraddire il passaggio dei cavalieri che venissero da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao attentamente e gli disse: “O messer Achelao, vi prego di dirmi come avete perso”."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono",Spero in messer Gesù Cristo di mandarvi presto a mezzo di Timoteo affinché io sia di buon animo.
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"senza indugio, l’uomo selvaggio avanza e il lupo cerviero vede."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Si mandano lancioni in un luogo; questo viene chiamato capo di porco dai cavalieri.
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,tenda le reti ai cervi e sappia dove dimora il feroce cinghiale da catturare.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.",Ora spaventi i cervi con varie e diverse paure o il cinghiale abbatta a terra passato col collo dello spiedo.
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Tratta della natura delle cose incorporee che non hanno rapporti tra loro, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, dal quale dipendono tutte le cose, viene dispensato e giudicato."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","I poeti, parlando delle virtù dei loro autori, affermano falsamente i loro difetti quando nessuna di esse superava l'esame del loro tribunale."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","Quella cosa, la quale è diretta ed onesta, e con virtù, solo penso essere lo bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti avvelenavano alcuni Romani durante il giorno, era meraviglia a vedere come le pulci si combattevano tra loro, poiché esse imollavano tutto il veleno del loro sangue."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: Oh, che bella cosa è vedere apertamente con gli occhi quando li fai direttamente o in culo o in altro."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma anche se questo fu colpa tua, tuttavia hai cercato di vedere con gli occhi corporei una cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti rispondo ora, poiché sei mio servitore, perché è tempo di festa o perché devo rispondere a te?"
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì, conviene che glieli dia di buon grado perché li lasci andare via."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Notevole esempio a chiunque avesse intenzione di commettere tradimento, il servo, accusato da lui, fu liberato e ricevette una grande somma di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Che sarebbe una cosa sconcia se lui lo avesse fatto, così da meritare ugualmente la colpa del servo e la punizione di Platone."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostro le sue forze al massimo, dandogli il regno di questa città nella quale nacque servo; al quale accadde lungamente di mantenere il potere."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L’anima muta la propria forza per la proprietà di quel corpo a cui essa si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due già non in una carne, ma in uno spirito, ovvero l'anima. In altro luogo infatti afferma San Paolo: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Quando Lucano lo disse, noi vi raccontiamo. Lì, quando l’anima di Pompeo ebbe sentito la chiarezza di Lasso, essa comprese prima in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Così è doloroso ascoltare, quando le armi e gli sforzi rifiutano di usare, con enorme vergogna, come pecore essere."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E non ne ebbe fastidio Cristo di udirle.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine di cui hai potuto osservare e contemplare lo studio e ascoltare le voci, e delle cui mani e lance puoi appena tenere conto."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","udire di belle notizie ed annusare bei fiori, come e quando e quanto si conviene."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino alle spalle del suo alloggio, quasi come se stesse riflettendo sulla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desideroso di andare là dove non posso con il corpo, con la mente volo."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ed ecco immediatamente tutti questi uccelli si alzarono in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del volo degli uccelli e di tutte le cose sa giudicare rettamente.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ecco quanto per la sua superbia quest’uccello volava troppo in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa proprietà che io volo nell’aria così come un uccello»."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nella matricola si scrive “giurano per Dio”, e “per Cristo” e “per lo Spirito Santo”, si deve intendere che essi giurano a Dio, a Cristo e allo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità, io ripeto, secondo il comando del tuo santo padre Agostino, le battaglie sono già state combattute nel mondo."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molto più sarà facile farle al re, poiché nella nostra città fu sempre santo e glorioso il nome regale e i loro nomi furono santi e gloriosi compagni."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio, che superi i propositi santi e voti di verginità vedendone le lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".",Sant’Agostino scrisse un libro intitolato “La città di Dio”.
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non ho mai sentito dire che lui avesse un maestro; ma il dono dello Spirito Santo non si può limitare da una legge.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Mercanti fiorentini passavano in nave per recarsi oltremare.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai visto nei cavalieri i segni visti, non andare a grandezza cadendo, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa ancora più grave, ovvero essere catturato o fuggire, e perdere la propria città."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate, che se noi non avessimo agito così rapidamente, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Cretaceo, che in aiuto ai nemici avrebbe potuto fuggire, ma la vergogna di abbandonare i nobili cavalieri della gente achea, poco avanti da lui."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","e l'acconciamento a fare grandi cose, ossia ad ottenere la pace e l'amore di Dio e del prossimo, a fondare città, castelli e signorie."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,"Colui che ancora non sa amare il prossimo come se stesso, comincia già a temere i giudizi di Dio."
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L’uccello, dopo aver impanato le ali, non fugge prontamente né lo porco selvatico riesce a uscire bene dalle reti dove cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?",Io gli aprii e quelli fuggirono. Che bisogno c’è che il tuo cuore rimanga chiuso al tuo sposo Cristo?
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Dunque, poiché queste cose sono così, Catellina, e tu non puoi vivere bene qui, dubiti tu di andartene in qualche luogo e di utilizzare questa vita fuggendo per i deserti?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo opporsi alla volontà del Senato di rimanere nell'ufficio del Tribunato, furono uccisi dalla plebe, istigando i padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, ai quali spetta la difesa dei territori e la sorte dell’intera battaglia, sono esposti a grandi pericoli."
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dai monti dei Romani nacquero nuovi nemici contro i quali combatté con diverse vicende: poiché nella prima battaglia, essendo console Valerio, morì dei Romani;"
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.",Noi ci siamo allontanati dalla città per debito della stessa e tutti ci siamo allontanati per fama e per fortuna.
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Pregate gli dei per me! I vostri voti sono inutili: se chiedete chi ha avuto fortuna in questa battaglia, io non ho perso contro nessuno."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, con ciò che più prudenti principi di scudieri correvano allora a vederlo, Scipione, stimando che venissero per spingerlo, alloggiò nella casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro di lui e contro le sue sorelle e contro il regno e contro l’alto pregio della sua generazione e della sua famiglia.
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora che il naviglio fu imboccato e posto in alto mare per procedere dritto attraverso questo passaggio pericoloso, l'aria diventò nuvolosa e piovigginosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salì sull'argine del fossato e sullo steccato, se fosse possibile difendersi o trovare una via di fuga."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","L’occhio dell’intelligenza è più elevato, poiché superata la grandezza dell’università, quella stessa forma semplice riesce a cogliere nella sottile visione."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l’occhio è un nobile membro del corpo umano, allora la saluto è una parte nobile della pistola; inoltre, illumina tutta la lettera come l’occhio illumina l’uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, nati dagli abitanti di Taranto, città greca della Magna Grecia."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Ulecois, ebbe un uomo ricco e nobile: Orgentino fu chiamato per nome."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Però che, se una nobile azione è capace di abbattere il nemico, ancor più lodevole è saper mostrare misericordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, figlio del re Filippo di Macedonia, giovane nobile macedone, mentre era in una zona remota senza protezione, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuni sono ricchi e gentili, ma si lamentano di non poter avere altre mogli oltre a quelle che hanno."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","A Pietro, essendo mostrata in figura la popolazione dei Gentili, gli fu detto: uccidi e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Pregò che lo liberasse da quell’obbligazione, della quale era stato costretto a lasciarlo obbligato. L’uomo gentile acconsentì e gliela fece."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L’oro verrà dall’Aquila. Che cosa rappresentiamo noi per l’Aquila? Non certo il popolo gentile, congelato dal peccato, soggiogato dalla tirannia di chi lo tiene sotto il suo giogo."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia in mezzo tra me e te: con noi non può più rimanere a lungo, io non lo sopporterò e non lo lascerò."
