author,date,region,Sentence,minerva
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventi i cervi con varie e diverse paure, oppure uccidi il maiale legandolo ad un palo e infilzandolo poi con uno spiedo."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Tratta della natura delle cose incorporee che non hanno rapporti tra di loro, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, al quale tutto viene rimesso e giudicato."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Gli scrittori, descrivendo le virtù dei loro personaggi, inventano fatti e mentono sui loro difetti, se qualcuno non era d'accordo con loro."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","Quella cosa, la quale è diretta ed onesta, e con virtù, solo io penso essere il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i Romani erano assaliti dai serpenti durante il giorno, era meraviglia a vedere come le api si difendevano dal veleno, poiché esse immergevano nel proprio pungiglione tutta la saliva dei rettili."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: Oh, che bella cosa è vedere chiaramente ciò che ti viene mostrato direttamente negli occhi o nel sedere o altrove."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma questa fu colpa tua, perché hai cercato di comprendere qualcosa attraverso i sensi corporei anziché attraverso l'intelletto."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non ti risponderò ora, perché sei mio servitore, oppure perché è un momento difficile o perché non devo rispondere."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"Sì, conviene che glielo concedesse perché lo lasciasse andare via."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Esempio notevole a tutti coloro che dovevano evitare di commettere tradimento, il servo, accusato ingiustamente, fu liberato e ricevette una grande somma di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"Che sarebbe stato uno scandalo se lo avesse fatto lui stesso, come meritava la colpa del servo e la punizione di Platone."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostrova tutte le sue forze, dandogli il regno su questa città nella quale era nato schiavo; al quale accadde lungamente di mantenere il potere."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima trasforma la propria forza per appropriarsi del corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Sono due entità distinte, ovvero Dio e l'anima, e non possono essere considerati come una sola persona. In un altro passo delle Sacre Scritture, San Paolo afferma: ""Chi si avvicina a Dio è uno spirito""."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Quando Lucano lo disse, noi ve lo raccontiamo. Lì, quando l'anima di Pompeo sentì la chiarezza della luce, essa comprese prima in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Così grande è il dolore di sentire che gli strumenti del lavoro e della fatica vengono rifiutati, con enorme vergogna, come se fossero delle pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E Cristo non ebbe fastidio nel sentire tali parole.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine dei quali hai potuto osservare e studiare attentamente, e solo pochi dei quali puoi ricordare le parole pronunciate."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","ascoltare buone notizie e annusare bei fiori, come e quando e quanto si addice."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino alle spalle del suo alloggio, come se stesse cercando la risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io desideroso di andare là dove non posso fisicamente recarmi, con la mente mi reco lì."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ed ecco immediatamente tutti questi uccelli si alzarono in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Anche lui vede le ragioni del volo degli uccelli e di ogni altra cosa e sa giudicare rettamente.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ecco come quest'uccello ha osato volare troppo in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgona, e ho questo potere che io volo nell'aria come un uccello""."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nelle iscrizioni si scrive “giuro” si giura per Dio, per Cristo e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità ripeterò ciò che, secondo il comando del tuo santo padre Agostino, le battaglie sono già state nel mondo."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molto di più esse rimarranno impresse nella sua mente, perché nella nostra città fu sempre grande e gloriosa la fama della casa reale, e se ne ebbero compagni fu il loro nome santo e gloriosissimo;"
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio, che mi sopravvaluti per il mio nobile proposito, e che veda i suoi elogi solo perché è vergine."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Sant'Agostino scrisse un libro intitolato ""La città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"Gregorio. Non ho mai sentito dire che egli avesse un maestro; tuttavia, il dono dello Spirito Santo non può essere limitato da leggi."
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,I mercanti fiorentini attraversavano il mare su navi.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai visto nei cavalieri i segni dei detti vizi, non andare a battaglia pensando che siano invincibili perché nelle battaglie sono più utili i soldati valorosi che quelli grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa ancora più grave, ovvero essere catturato o fuggire, ma soprattutto perdere."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sapete bene che se avessimo agito con maggiore rapidità, avremmo potuto salvarci tutti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Cretaceo, che aveva aiutato i nemici, avrebbe potuto fuggire, ma la vergogna di abbandonare gli illustri cavalieri dell'esercito acheo, che erano appena dietro di lui, lo trattenne."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E l'acconciarsi a compiere grandi imprese, ovvero ad ottenere la pace con Dio e gli uomini, a costruire città, castelli e dimore."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio.,Chi ancora non ama se stesso come gli altri cominciano ad avere paura dei giudizi divini.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo aver impigliato le ali, non riesce a fuggire rapidamente né lo scrofa selvatico esce bene dalle reti dove cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io ti ho aperto, e quelli se ne sono andati. Non c'è bisogno che il tuo cuore rimanga chiuso al tuo sposo Cristo."
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Dunque, dato che queste cose stanno così, Catellina, e tu non puoi vivere bene qui, dubiti tu di andartene in qualche altro luogo e di utilizzare questa vita scappando dai deserti?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo opporsi alla volontà del Senato, morirono per mano della plebe, istigando i padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, ai quali viene affidata la difesa dei territori e la fortuna dell'intera battaglia,"
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dai monti dei Romani furono fatti nuovi nemici contro i quali combatté con diverse vicende: perché nella prima battaglia, essendo console Valerio, morì nelle file romane;"
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.",Ci siamo allontanati dalla città per debiti e ci siamo separati per fortuna e per caso favorevole.
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Pregate gli dei per me; le vostre preghiere valgono: e se chiedete chi ha avuto fortuna in questa battaglia, io non ho perso contro nessuno."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, con questo intendeva che vi fossero persone che correvano per caso a vedere lui, Scipione, pensando che lo stessero invitando ad andare da loro."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,Contro di lui e contro le sue sorelle e contro il regno e contro l'alto valore della sua generazione e della sua famiglia.
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora che la nave fu spinta in alto mare per seguire una rotta pericolosa, il cielo diventò nuvoloso e piovigginoso."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salì sull'argine del fossato e sullo steccato, se fosse stato possibile farlo senza pericolo o trovare un modo per passare oltre e salvarsi."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","L'occhio dell'intelligenza è più elevato rispetto alla comprensione superficiale. Infatti, superata la grandezza dell'università, quella stessa forma semplice riesce a cogliere la sottile visione."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobile del corpo umano, allora anche la saluto è una parte nobile della parola scritta, perché illumina tutto il testo come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarantini, nati dagli abitanti di Taranto, città greca della Magna Grecia."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ugo fu chiamato ricco e nobile: era detto Orgiento.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, se una cosa nobile e grande è abbattuta dal nemico, non è meno lodevole saper avere misericordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, figlio del re Filippo di Macedonia, giovane nobile macedone, fu ucciso mentre era in un luogo isolato senza protezione."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuni sono ricchi e gentili, ma si lamentano perché vorrebbero avere un'altra moglie rispetto a quella che hanno."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","A Pietro, essendo mostrata in figura la popolazione dei Gentili, gli fu detto: uccidi e mangia."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Lo pregò che gli liberasse da quell'obbligo, nel quale era stato costretto. Egli acconsentì, e lo liberò, e ne fece una carta."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro arriverà dall'Aquila. Noi rappresentiamo il popolo gentile congelato dal peccato, il quale teneva sotto il giogo della sua tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia tra me e te: non può rimanere ancora a lungo con noi, perché io non lo sopporterò e non lo lascerò."
