Author,Date,Region,Sentence,pos_tags,LLaMA
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",CCONJ ADJ ADP NOUN ADP PROPN PUNCT CCONJ VERB DET NOUN NOUN ADP PROPN CCONJ DET NOUN ADP NOUN PUNCT,Lamentavano dell'iniquità di Appio e piangevano la sfortunata bellezza della vergine e la necessità del padre.
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,",ADP DET NOUN PUNCT ADV PRON VERB ADV ADJ ADP VERB ADP NOUN CCONJ ADV PRON ADV SCONJ ADV ADV DET NOUN AUX ADJ PUNCT,"Nella quale battaglia, certo, io sempre ebbi il coraggio di parlare di pace e mi dolse sempre che non solo la pace era disprezzata."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.",DET ADJ NOUN ADV ADP DET ADJ NOUN VERB ADJ PUNCT CCONJ DET ADJ ADP DET NOUN VERB DET NOUN PUNCT,"La seconda è spesso tremebonda per la sua grande previdenza, e la prima riesce talvolta a rendersi ancor altrui pazzo grazie alla sua audacia."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,PROPN ADP NOUN ADP PUNCT PROPN CCONJ DET DET NOUN VERB PROPN PUNCT,Andò nel campo cartaginese e con sé trasse tutta la legione.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",ADV PRON VERB VERB ADP NOUN PUNCT PRON AUX PRON PUNCT DET PRON VERB NOUN ADP NOUN PROPN ADP VERB ADP ADJ ADP DET NOUN PUNCT DET PRON VERB NOUN PUNCT,Non lo volle conoscono come nemico. Questa è quella che ispirò coraggio al profeta Natan per rimproverare con grande autorità quel re che aveva peccato.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.",DET NOUN CCONJ ADV ADP PRON NOUN ADP DET NOUN PUNCT PROPN SCONJ PRON ADV VERB VERB ADP PRON CCONJ ADV VERB DET NOUN PUNCT,"L'armi e insieme con loro passavano tra i nemici, perciò se alcuno non avesse avuto il coraggio di ciò e avevano questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,ADV NOUN PROPN AUX VERB ADJ PUNCT,Dove ragionevolmente è interpretato Job come un uomo sofferente.
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.",PRON PRON ADP DET DET PRON VERB ADP PUNCT NOUN PUNCT CCONJ ADP PRON ADV ADV AUX VERB PUNCT ADV SCONJ PRON AUX DET NOUN PUNCT,"Quello che sopra tutti gli altri ha perdonato ai cittadini, è il cui parere potete credere più sicuramente, poiché fu sempre il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.",ADP NOUN PRON VERB PRON DET NOUN VERB PUNCT ADP PRON AUX NOUN PRON ADV PRON AUX VERB SCONJ DET PROPN ADP PRON VERB DET PROPN ADJ PUNCT,"Inutilmente si porrebbe la domanda su chi abbia scritto questo Libro, poiché dobbiamo credere sinceramente che l'autore di esso fosse lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile",SCONJ ADV AUX ADJ PUNCT PRON VERB ADV ADV ADV ADJ PUNCT ADV ADV ADV PRON AUX VERB PRON PUNCT NOUN SCONJ DET ADJ NOUN ADP NOUN PUNCT CCONJ DET NOUN ADP NOUN,"Se non fosse consueto, ciò sembrerebbe certamente molto più incredibile: certo si può più facilmente credere a ciò, posto che lo spirito umano può ascendere al divino, e il mutabile può raggiungere l'incommutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,SCONJ VERB DET NOUN ADP NOUN ADP DET NOUN CCONJ ADV VERB ADP NOUN ADP NOUN DET NOUN ADP VERB DET NOUN ADP PUNCT NOUN PRON VERB ADP PROPN ADP PROPN,"Così, avendo preso il loro stipendio dal tesoriere, se ne andassero immediatamente in audience presso papa per opporsi alla rivolta dei cavalieri che erano arrivati in Toscana da Cecilia."
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste",PROPN VERB PROPN ADV ADJ CCONJ VERB ADV PUNCT PUNCT CCONJ VERB PROPN PUNCT PRON PRON VERB SCONJ PRON PRON VERB ADP DET NOUN PRON NOUN,"Teseo guardò Achelao con grande meraviglia e disse: ""Oh signor Achelao, ti prego di dirmi come hai perso il tuo dono""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono",PRON VERB ADP NOUN PROPN ADP VERB ADV ADP PRON PROPN PUNCT SCONJ PRON AUX ADP NOUN ADJ,"Spero in Gesù che Mistero Tiemo ti invii presto, affinché io possa avere un buon animo."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,NOUN NOUN DET NOUN ADJ VERB DET PUNCT NOUN ADP AUX VERB CCONJ AUX DET NOUN ADJ ADP VERB,"Senza errore, il selvaggio maiale è in grado di udire, e la lupa accorta di vedere."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,DET NOUN PRON VERB PROPN PUNCT SPACE DET DET NOUN DET NOUN PRON PRON VERB NOUN ADP NOUN,In un luogo si mandano lancioni; e questa cosa i cavalieri la chiamano testa di porco.
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,VERB DET NOUN ADP DET ADJ CCONJ VERB ADV ADP DET NOUN ADJ DET ADJ NOUN VERB PUNCT,Lanci le reti a coloro che non sanno in quali pianure dimora il violento porco che vuole cinghiare.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.",ADV VERB PRON ADJ NOUN ADP ADJ CCONJ DET NOUN PUNCT CCONJ DET NOUN ADJ ADJ ADP NOUN ADJ NOUN NOUN PUNCT,"Ora i cervi assetati di sangue ti farai tremare con diverse paure, e il maiale conficcato da una lancia cadrà a terra."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.",VERB DET NOUN ADP NOUN ADJ DET PRON ADV VERB ADJ ADP NOUN PUNCT INTJ ADP NOUN CCONJ DET ADJ NOUN PUNCT,"Tratta la natura delle realtà immateriali, che non comunicano tra di loro, così come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.",NOUN PUNCT ADP DET PRON PRON VERB CCONJ VERB DET DET NOUN PUNCT,"Dio, mediante il quale tutto viene dispensato e giudicato."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato",SCONJ DET NOUN PUNCT VERB ADP VERB PUNCT VERB DET ADJ DET CCONJ VERB VERB DET DET NOUN PUNCT SCONJ PRON VERB DET NOUN ADP ADJ NOUN,"I poeti, parlando dei loro, esaltano le loro virtù e glorificano, in modo fittizio, i loro difetti, quando una cosa supera la loro propria portata."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.",CCONJ DET NOUN PUNCT DET PRON AUX ADJ CCONJ ADJ PUNCT CCONJ ADP NOUN PUNCT PRON ADJ VERB AUX DET NOUN PUNCT,"E considero come il bene è solo quella cosa che è retta e onesta, e raggiunta con virtù."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive",SCONJ DET NOUN VERB ADP NOUN DET PROPN PUNCT ADV VERB DET NOUN ADP VERB SCONJ PRON PROPN PRON VERB ADP NOUN PUNCT SCONJ NOUN VERB ADV VERB ADP DET NOUN,"Quando i serpenti azzannavano durante il giorno un Romano, allora era meraviglia vedere come i vipere si uccidevano con il veleno, poiché venivano a consumare tutta la tossina della loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro",VERB DET NOUN PUNCT INTJ PUNCT PRON ADJ NOUN AUX VERB ADV ADP DET NOUN SCONJ PRON PROPN VERB ADV CCONJ ADP NOUN CCONJ ADP PRON,"Dice il poeta: oh, quanto bello è vedere con gli occhi aperti quando tu lo fai direttamente o nella_PCI詞 o in qualsiasi altro modo."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.",CCONJ ADV PRON AUX NOUN DET PUNCT ADV SCONJ AUX VERB ADP VERB ADP DET NOUN ADJ DET NOUN ADJ PUNCT,"Ma proprio questo fu colpa tua, poiché desiderasti cercare di comprendere con gli occhi della carne una cosa invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti",VERB AUX PUNCT CCONJ ADV NOUN VERB ADP DET NOUN PUNCT ADV SCONJ VERB PROPN AUX DET NOUN PUNCT CCONJ ADV ADP PRON AUX NOUN ADJ PUNCT CCONJ ADV ADP PRON PRON ADV AUX VERB,"Ciò è vero, ma non ti rispondo in questo momento, perché tu sei mio servo, o perché è tempo di riposo, o perché non ti devo rispondere."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,ADV VERB SCONJ PRON VERB ADJ VERB ADV ADP VERB VERB ADV PUNCT,"Sarebbe stato conveniente che gli desse un grande avere, affinché potesse lasciarlo andare via."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta",ADJ ADV ADP PRON PRON PRON VERB ADP VERB CCONJ ADP NOUN ADJ PUNCT DET NOUN PUNCT DET PRON PRON AUX VERB PUNCT AUX ADJ PUNCT CCONJ VERB VERB ADJ NOUN ADP NOUN,"Ecco un esempio eclatante per ogni singolo che si guardi di compiere e di pensare alto tradimento: il servo, che gli aveva denunciati, fu assolto e le fu data una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,PRON VERB ADP NOUN PRON VERB SCONJ PRON AUX VERB ADV SCONJ ADP NOUN ADP NOUN CCONJ PUNCT DET NOUN ADP PROPN AUX VERB ADV PUNCT,che sarebbe cosa indecorosa per lui se gli fosse successo qualcosa che avrebbe meritato l'ingiuria di un servo e il castigo di Platone per la stessa cosa.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere",NOUN ADV DET NOUN DET PUNCT VERB PRON NOUN ADP DET NOUN ADP DET PRON VERB NOUN PUNCT ADP PRON VERB ADJ DET NOUN VERB,"Mostrò maggiormente le sue forze, facendosi re di questa città nella quale nacque servo; al quale avvenne conservare l'imperio per un tempo straordinariamente lungo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,DET ADJ NOUN VERB DET DET NOUN ADP DET NOUN ADP PRON NOUN ADP PRON PRON PRON VERB PUNCT,"L'anima muta la sua essenza, modificandosi secondo la proprietor del corpo nel quale si unisce."
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito",AUX NUM ADV ADV ADP DET NOUN PUNCT CCONJ ADP DET NOUN PUNCT CCONJ PROPN PUNCT CCONJ DET DET NOUN PUNCT NOUN ADP ADJ NOUN VERB PROPN PROPN PUNCT PRON PROPN PRON VERB ADP NOUN AUX DET NOUN,"Sono due, non in un corpo, ma in un solo Spirito, cioè Dio e l'anima. Perciò san Paolo diceva: Chi si accosta a Dio diventa uno Spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande",ADP PRON SCONJ PROPN PRON VERB PUNCT DET PRON VERB PUNCT ADV PUNCT SCONJ DET NOUN ADP PROPN AUX VERB DET NOUN ADP PROPN PUNCT PRON ADV ADJ ADV ADP SPACE ADJ,"Poiché Lucano lo disse, ve lo riporto. Lì, quando l'anima di Pompeo ebbe sentito la chiarezza dei suoi agi, ella si rese conto subito della sua grandezza."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere",AUX NOUN VERB ADP VERB PUNCT SCONJ DET DET VERB DET DET NOUN CCONJ DET NOUN VERB PUNCT ADP ADJ NOUN ADP NOUN AUX,"Perciò è dolore ascoltare che l'uomo rifiuti l'uso delle armi e la fatica, e sia ridotto al più vile onore di pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,CCONJ PROPN VERB ADP ADJ PROPN ADJ NOUN ADP VERB PUNCT,E nonn'è stato invelato Cristo dalle parole come queste da udire.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.",DET NOUN ADP PUNCT PRON PRON PRON AUX VERB CCONJ VERB DET NOUN CCONJ ADV ADV VERB DET NOUN PUNCT CCONJ ADP DET NOUN CCONJ NOUN ADV AUX VERB PUNCT,Quelli che hai potuto vedere e contemplare lo studio e poco fa sentire le voci e di cui le mani e i confini della mia pazienza riesco a malapena a contenere.
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene",VERB ADP ADJ NOUN CCONJ VERB ADP ADJ NOUN PUNCT ADP CCONJ SCONJ CCONJ PRON PRON VERB,"Godersi a sentire belle novelle e a inebriarsi profumatamente di bei fiori, come si conviene ora e quando è opportuno."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.",DET NOUN VERB ADP DET NOUN ADV DET DET NOUN PUNCT ADV SCONJ PRON PRON VERB VERB ADP NOUN PUNCT,"Il re entrò nel giardino dietro l'hotel, come se stesse riflettendo sulla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo",CCONJ PRON ADJ NOUN ADV PRON ADV AUX ADP NOUN VERB PUNCT ADP DET NOUN PRON NOUN,"Ma io dissido là dove io non posso andar con il corpo, con la mente vi volo."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,CCONJ ADV ADP ADV DET PRON ADJ ADP NOUN PRON VERB ADP NOUN ADV DET NOUN,E subito tutta quella           folla di uccelli si levò in volo all'inseguimento dell'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,VERB ADV DET NOUN ADP NOUN ADP ADJ CCONJ ADP DET DET NOUN VERB VERB ADJ NOUN PUNCT,Vede anche le ragioni per cui gli uccelli volano e tutte le cose è in grado di giudicarle con vero senso critico.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,ADV ADV ADV ADP DET DET NOUN DET NOUN VERB ADP ADV PUNCT,"Ecco infine come, proprio a causa della sua incredibile superbia, quell'uccello volava così alto."
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".",PROPN PUNCT CCONJ VERB DET NOUN PRON PRON VERB ADP DET NOUN ADV ADP DET NOUN PUNCT PUNCT,"Medusa, e ho questa proprietà che io volo nel cielo come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo",SCONJ ADP NOUN PRON VERB VERB ADP NOUN PUNCT CCONJ ADP PROPN PUNCT CCONJ ADP DET PROPN PROPN,"Quando nel documento si scrivono di giurare per Dio, per Cristo e per lo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]",ADP NOUN DET PUNCT ADJ PROPN PUNCT ADP DET NOUN DET PUNCT NOUN ADJ PROPN PUNCT DET NOUN ADV AUX ADP NOUN PUNCT PUNCT PUNCT,"Poiché la necessità lo richiede, ripeto ciò che San Agostino, tuo padre, comandò, secondo il comando tuo: le battaglie della Chiesa già si sono svolte nel mondo."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;",ADV ADP ADJ NOUN AUX VERB ADP NOUN PUNCT ADV SCONJ ADP DET NOUN ADV VERB NOUN CCONJ ADJ DET NOUN ADJ PUNCT CCONJ ADJ AUX VERB ADP DET DET NOUN ADJ PUNCT,"affermerà la sua memoria un re, infatti in tutta la nostra città il nome reale è stato sempre santo e glorioso, e compagni del loro nome santo lo furono sempre."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi",ADV VERB PUNCT DET VERB ADP DET ADJ NOUN PUNCT CCONJ NOUN ADP NOUN VERB DET DET NOUN,"Non desidero che ti vantaggi della tua intenzione santa e della tua voto di castità, vedendo glorie che lo meritano."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".",PROPN PROPN VERB ADP ADP NOUN SCONJ VERB NOUN PUNCT PROPN ADP PROPN ADP PROPN PUNCT PUNCT,"Santo Agostino scrisse un libro chiamato ""La Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,PROPN PUNCT ADV VERB ADV SCONJ PRON AUX NOUN PUNCT CCONJ DET NOUN ADP PROPN PROPN ADV PRON AUX VERB ADP NOUN PUNCT,Gregorio. Non ho mai sentito dire che egli avesse un maestro; ma il dono dello Spirito Santo è al di là della legge.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,PROPN PUNCT PROPN PROPN VERB ADP NOUN ADP VERB VERB PUNCT,Verbgrazie: i mercanti fiorentini si recavano in nave fuori di qui.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.",SCONJ VERB ADP NOUN DET ADJ NOUN ADJ ADV VERB ADP NOUN ADJ PUNCT SCONJ ADP NOUN AUX ADV ADJ DET ADJ PRON DET NOUN PUNCT,"Quando avrai notato nel cavaliere i segni di ciò che vedi, non andare in cerca della grandezza, perché nelle battaglie sono più utili i forti che gli alti."
