Author,Date,Region,Sentence,Qwen
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.",Quello a cui tutti i cittadini più facilmente perdono e cui più fidatevi; poi che egli era il vostro comandante.
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","In vano si domanda chi ha scritto questo libro, poiché si deve credere fedelmente che l'autore fosse l'Esprit Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse usata troppo spesso, sarebbe certo molto più incredibile: è certo più facile credere ciò, posto che l'umanità sia unita al divino, e il mutabile al immutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,che prendessero la paga dal camerlingo per la loro dispensa e immediatamente andassero alla presenza del Papa per contrastare la disposizione dei cavalieri provenienti da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao molto sorpreso e disse: ""Onorevole Achelao, pregami di spiegarmi come mai tu hai perso"
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero che messer Iesù mi invii subito Timoteo, così da potermi sentire in pace."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza dubbio, il porco selvatico riesce a ingannare l'uomo con le sue parole, mentre il lupo cervigio riesce a impressionarlo con la sua apparenza."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,Uno sparo viene sparato da un luogo; la cosa che i cavaliere chiamano capo di maiale.
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,Tende le reti ai cerbi e sa bene in quale valle cingare il furioso porco.
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora spaventerai i cervi impauriti con diversi e vari timori, o il porco cinghiale scenderà a terra quando il collo verrà piantato con un spiedo."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Esamina le proprietà delle cose incorporee, che non interagiscono tra loro dentro i corpi, come Dio e le cose divinitarie."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, per cui tutte le cose sono dispensate e giudicate."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Per questo motivo, i poeti, quando parlano delle loro virtù, le descrivono, mentre le loro debolezze li presentano in modo fittizi, quando qualcosa supera l'ordine assegnato alle loro qualità."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quella cosa, che è diretta e onesta, e dotata di virtù, penso essere il bene."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti attizzava il giorno qualcuno romano, allora era la meraviglia vedere come i Plesiochiini si combattero per il veleno, poiché li uccidevano completamente con la loro saliva."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Dice il poeta: Oh, quanto è bello vedere apertamente con gli occhi quando lo fai di traverso, o in culo, o in altro."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma, purtroppo, questa fu tua colpa, poiché volesti cercare di vedere con gli occhi corporei qualcosa che è invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","È vero, ma non rispondo in questo momento, sia perché sei mio servo, sia perché è un giorno festivo, sia perché non devo risponderti."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,Si conveniva che glieli concedesse un grande patrimonio perché lasciasse andare via.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio notevole per tutti chi si guardasse di fare e pensare tradizione, il servo che era stato accusato foi punito e liberato, ricevendo in cambio una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"cosa sconcia per lui se l'avesse commessa, perché la colpa del servo e il castigo di Platone dovrebbero essere state meritate ugualmente."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","mostrò e massimamente esibì le sue forze, affidando questa città, nella quale era nato schiavo, al suo comando. Da quel momento, tenne lungamente l'impero."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muta la sua forza a causa della proprietà del corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Siamo due, non più uniti in una sola carne, ma in uno spirito, cioè Dio e l'anima. Quindi, in un altro passo, Paolo dice: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Secondo quanto disse Lucano, ci racconteremo ciò. Lì, quando l'anima di Pompeo ebbe sentito la chiarezza del lasso, essa si conobbe prima in grande."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Quindi il dolore deriva quando l'uso dell'arma e la fatica vengono rifiutati, con un grande disonore di esser trattati come pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E non trovò fastidio a sentire Cristo quelle parole.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","Le molteplici cose che hai potuto vedere e studiare, e le cui voci poco fa ho potuto sentire, le cui mani e lance riesco solo a immaginare."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","udire novelle belle e odorare fiori splendidi, quando, quanto si conviene."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino alle spalle dell'albergo, quasi come se andasse meditando sulla risposta."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma desidero dove non posso arrivare con il corpo, con la mente viaggio comunque."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,Ecco subito tutta questa folla di uccelli che si alzarono in volo dietro all'aquila.
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Vede anche le ragioni del volo degli uccelli e giudica con precisione su tutte le cose.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ecco quanto per la sua superbia questo uccello volava in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Gorgone, e ho questa propriété che volo nell'aria come un uccello."""
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando nella matricola si scrivono giuramenti a Dio, a Cristo e allo Spirito Santo."
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità, mi ricondotto a quello che secondo il tuo comando, Padre Santo Agostino, sono state le battaglie nel mondo [..]."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Molto più sarà ricordato per il re, poiché nel nostro paese il nome reale è sempre stato sacro e glorioso, e se furono suoi compagni, il loro nome era anche santo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che si insulti per il sacro proposito, vedendo le sue lodi per la purezza della verginità."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","Santo Agostino scrisse un libro che aveva per titolo ""Agostino della Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non ho mai sentito parlare di un suo maestro; ma il dono dello Spirito Santo non può essere limitato da leggi.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Verbiagrazia: I mercanti fiorentini viaggiavano a bordo di navi per andare oltre mare.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai nel cavaliere quei segni, non abbassare la grandezza, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa ancora più grave, essere preso ou fugge et lascia vincere il suo comune."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate davvero che, se non avessimo così precipitato nel fuggire, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Il ceco Tarco, che avrebbe potuto fuggire nell'aiuto agli nemici, tuttavia la vergogna di abbandonare i nobili cavalieri alessani, che erano poco avanti da lui, lo ha tenuto."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E l'acconciamento è ciò che permette grandi cose, cioè mantenere pace, amare Dio e il prossimo, ed allestire città, castelli e casticoli."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Colui che ancora non ama il prossimo come se stesso comincia a temere le giudizie di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo aver avvolto le ali, non sfugge salvo, né il porcogno selvatico emerge bene dalle reti quando cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","L'aprii, e loro fuggirono. E perché ti manca il cuore verso il tuo sposo Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","E quindi, visto che queste cose sono così, Catellina, e tu non puoi abbastanza rimanere qui, dubiti tu di andarti in qualche terra e vivere questa vita fuggendo per i desolati?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contravvenire alla volontà del consiglio, abbandonarono il loro ufficio di tribuno e furono uccisi dalla plebe, incitata dai senatori coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","i giovani, ai quali è affidata la difesa delle province e la sorte di tutta la battaglia"
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Da montagne romane furono creati nuovi nemici; contro di loro combatterono con sorte diversa: perché nella prima battaglia, Valerio, console, fece morire milletrecento romani."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Ciò che ci ha separati e divisi per debito della città, e tutti noi abbiamo perso la nostra fiducia e la nostra fortuna buona."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Hai pregato i dei per me; le tue preghiere sono state efficaci: e se chiedi chi ha avuto fortuna nella battaglia, non sono stato sconfitto da nessuno."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata Vitermina, se fossero venuti a trovarla principi di qualche signore per caso in quel momento, Scipione la accettò perché li considerava venuti per sfidarlo, e vi si stabilì."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,contro di lui e contro le sue sorelle e contro il regno e contro l'alta gloria della sua nascita e della sua famiglia.
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Allora che il naviglio fu impilato e messo in mare per andare diretto per mezzo di questo pericolooso passaggio, l'aria divenne nuvolosa e piovigginosa."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Si arrischiò sul margine del fossato, poi sul recinto, se fosse stato possibile difendersi da lassù o trovare qualche modo per passare oltre e salvarsi."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio dell'intelletto è più elevato. Quindi, dopo aver superato la grandezza dell'università, quella stessa forma semplice riesce a vedere attraverso la sottile visione."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobilissimo del corpo umano, allora la salutaione è una parte nobilissima della lettera, illuminando interamente la stessa come l'occhio illumina l'uomo."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","Tarentini, i quali erano nati dagli Spartani e avevano fondato una nobilissima città greca."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.",Ulecois era un uomo ricco e nobile; era noto come Orgentore per nome.
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, se una cosa nobilizia e alta abbassa il nemico, non è meno lodata sapere mostrare misericordia."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alexandro, era tanto umano quanto il figlio e il genero di Phausonia, una giovane gentile di Macedonia, mentre si trovava in un luogo stretto senza guardia, fu ucciso."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Alcuni sono ricchi e gentili, ma lamentano di voler avere un'altra moglie oltre quella che hanno."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, vedendo rappresentato il popolo gentile, gli fu detto: ""Ammazza, e mangia."""
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Lo pregavo che lo liberasse da quella obbligazione, in cui l'aveva lasciato obbligato. Il gentile uomo accettò e lo liberò, poi fece delle carte con quel foglio."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dall'Aquilone. Se consideriamo noi l'Aquilone, non è altro che il popolo gentile congelato dal freddo del peccato, il quale popolo ha sottoposto al suo giogo la tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia in mezzo tra me e te: tu non puoi più rimanere con noi, se non lo sopporterò e non lo lascerò."
