Author,Date,Region,Sentence,LLaMA
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","""Un amante che chiede pietà alla sua donna dice molte parole e argomenti, e lei si difende con le sue parole."""
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","""Mi ricordo (capitolo 347) che, essendo arrabbiato, lasciai andare la mia donna. Oh, quanti giorni questa rabbia mi tolse!"""
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Quello di cui tu ti lamentavi di essere l'amante della tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","""Ma non sapevano già i nomi dei congiurati, poiché la donna non li nominava ancora."""
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","""Quando si mosse, ti disse: ""Mia donna fedele, chiedi scusa per me al nostro ospite troiano"""
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","""A Milano è stata ripetuta la malvagità di una donna in un simile inganno, nello stesso tempo in cui questo signore della repubblica, in questo modo: """
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","""Si lamentavano dell'iniquità di Appio e si ripiangevano la sfortunata bellezza della fanciulla e la necessità del padre."""
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","""Nella battaglia in questione, sono sempre stato pronto a discutere la pace e mi dispiaceva che non solo la pace venisse rifiutata."""
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","""La seconda volta spesso si fa tremare per la grande responsabilità, e la prima volta si rende folle per la sua audacia."""
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"""Andò nel campo dei Cartaginesi e tutta la legione lo seguì."""
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","""Non lo volle conosce per nemico. Questa è la donna che diede coraggio al profeta Natanaele per riprendere con autorità quel re che aveva peccato."""
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","""Le armi e insieme con loro passavano tra i nemici, perciò se qualcuno non avesse avuto il coraggio di fare questo e avevano questo animo."""
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"""Dove è interpretato con ragione Iob con dolore;"""
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","""Quello che più di tutti gli altri perdonava ai cittadini e a cui più si poteva credere, poi che fu vostro comandante."""
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","""Inutile è chiedersi chi abbia scritto questo libro, poiché si deve credere con fede che lo Spirito Santo ne sia stato l'autore."""
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","""Se non fosse comune, ciò sembrerebbe molto più incredibile: in realtà, è più facile credere a ciò, poiché lo spirito umano è portato a credere al divino e il mutevole all'immutabile."""
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"""che ricevessero il pagamento dal camerlingo per la loro dispensa e immediatamente andassero in udienza presso il papa per contrastare la decisione dei cavalieri che arrivavano da Cecilia in Toscana"""
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","""Teseo guardò Achelao con grande meraviglia e disse: 'Signor Achelao, ti prego, dimmi come hai perso'""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","""Spero di poter presto inviare a voi Timoteo grazie a Gesù, in modo da mantenere un buon umore"""
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"""Senza errore, il cinghiale selvatico supera l'uomo nel sentire e il lupo nel vedere."""
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"""In quel luogo si mandano i lanzichenecchi; i cavalieri lo chiamano capo di porco"""
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,"""Stendi le reti ai cervi e sai bene in quale valle dimora il furioso cinghiale."""
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","""Ora i cervi smarriti saranno spaventati da diverse paure, e il cinghiale, caduto a terra, si troverà con il collo impennacchiato dallo spiedo."""
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","""Tratta la natura delle cose immateriali che non hanno rapporti con le cose materiali, come Dio e le cose divine."""
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.",""" Dio giudica e decide tutto."""
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","""Dove i poeti, parlando di loro, descrivono le loro virtù e raccontano in modo fantastico i loro difetti, quando qualcuno superava l'ordine assegnato loro"""
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","""E penso che il bene sia solo la cosa onesta e retta, che è virtuosa."""
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","""When the snakes were aware that a Roman was nearby during the day, then it was a wonder to see how the Psille were fighting in the venom, because they were sacrificing everything for the sake of their saliva."""
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","""Afferma il poeta: è meraviglioso vedere la verità con gli occhi aperti, anche se è difficile da accettare."""
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma è colpa tua, perché hai voluto cercare di vedere con gli occhi del corpo la cosa che non si può vedere."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","""È vero, ma non ti rispondo in questo momento, perché tu sei mio servo, o perché è giorno di riposo, o perché non devo risponderti."""
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,"È conveniente che gli dia un grande avere, affinché possa andarsene."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","""Un esempio notevole per ogni persona che si preoccupasse di fare e di pensare tradizione, il servo che gli aveva accusati fu assolto e gli fu data una grande quantità di denaro."""
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"""Se l'avesse commesso, sarebbe stato giusto che la colpa del servo e il castigo di Platone fossero stati uguali."""
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","""Mostra massimamente le sue forze, donando lui il re a questa città, nella quale nacque servo; al quale è avvenuto governare per molto tempo."""
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,"""L'anima trasferisce la sua forza alla proprietà del corpo con cui si unisce."""
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Siamo due già non in carne, ma in spirito, cioè Dio, e l'anima. In altro luogo, San Paolo dice: Chi si avvicina a Dio è uno spirito."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","""Però, come Lucano disse, glielo racconteremo. Lì, quando l'anima di Pompeo sentì la chiarezza del lusso, ella si rese conto della sua grandezza."""
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","""Quindi il dolore è ascoltare, quando l'uso delle armi e la fatica rifiutano, con grande disonore come pecore essere"""
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,"""Era infastidito dal fatto che Cristo pronunciava parole simili."""
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","La moltitudine di cui tu hai potuto vedere lo studio e poco prima udire le voci, e le cui mani e lance appena posso ritenere."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","""Ascoltare notizie belle e respirare l'odore di fiori belli, come e quando è opportuno"""
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","""Entrò nel giardino dietro l'albergo, come se stesse pensando alla risposta."""
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io sono là dove non posso andare con il corpo, con la mente ci sono."
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"""Ecco che improvvisamente tutta questa folla di uccelli si alzò in volo dietro all'aquila."""
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,"""Capisce anche le ragioni del volo degli uccelli e di tutte le cose è in grado di renderne un giudizio veritiero."""
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"""Ma ecco quant'era orgoglioso che volava in alto per la sua superbia."""
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","""Gorgone, ho questa proprietà di volare nell'aria come un uccello."""
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","""Quando si scrivono i giuramenti nella matricola, li pronunciano giurando per Dio, per Cristo e per lo Spirito Santo"""
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","""per necessità ridico che, secondo il tuo comando, Santo Agostino, le battaglie già state nel mondo..."""
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Il re avrà molte più preoccupazioni, poiché il nome reale è sempre stato santo e glorioso nella nostra città, e il loro nome è stato sempre santissimo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","""Non voglio che ti innalzi troppo per il tuo proposito di verginità, vedendo le sue lodi."""
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","""Santo Agostino scrisse il libro intitolato ""La Città di Dio""""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"""Gregorio. Non ho mai sentito dire che avesse un maestro; ma il dono dello Spirito Santo non si può circoscrivere da regole."""
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,"""Mercatanti fiorentini si recavano in nave per raggiungere il continente."""
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai notato nel cavaliere quei segni che hai visto, non andare a cercare la grandezza cadendo, perché nelle battaglie sono più utili i forti che i grandi."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa che è ancora più grave, è essere presi o fuggire, lasciando comunque che l'avversario venga vittorioso."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","""Sappiate veramente che se non ci fossimo stati più lenti nel fuggire, saremmo morti tutti."""
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","""Un cretese che aveva aiutato i nemici avrebbe potuto fuggire, ma la vergogna di abbandonare quei nobilissimi cavalieri achei poco prima di lui gli impedì."""
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","""E l'obiettivo è fare grandi cose, cioè mantenere la pace, amare Dio e il prossimo, edificare città, castelli e monumenti."""
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,"""Chi non sa ancora amare il prossimo come sé stesso comincia a temere i giudizi di Dio."""
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","""L'uccello, una volta che ha aperto le ali, non fuggisce più velocemente, né il cinghiale selvatico esce facilmente dalle reti in cui cade."""
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","""Io gli aprii e loro fuggirono. E che bisogno c'è che il tuo cuore resti chiuso al tuo sposo Cristo?"""
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","""E quindi, poiché queste cose sono così, Caterina, non puoi più vivere qui, dubiti di andartene in un'altra terra e di condurre questa vita fuggendo dalle deserte terre."""
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo contrariare il volere del senato, furono uccisi dalla plebe, incitata dai padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","""I giovani a cui si affida la difesa delle province e il successo di tutta la battaglia."""
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","""Da monti romani sono nati nuovi nemici; contro di loro si è combattuto con diverse sorti: invero, nella prima battaglia, essendo console Valerio, morirono tremila uomini romani."""
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","""Abbiamo lasciato la città per dovere e tutti ci siamo allontanati per fama e fortuna."""
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"""Pregate gli dei per me; i vostri preghieri valgono; e se domandate chi ebbe fortuna in questa battaglia, non fui vinto da lui."""
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","""una villa chiamata Vitermina, poiché molti principi di scherma si recavano casualmente in quel tempo per vederla, Scipione, ritenendo che venissero per sforzarla, la ospitò nella sua casa"""
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"""Contro di lui e contro le sue sorelle, contro il regno e contro il prestigio elevato della sua stirpe e della sua famiglia."""
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","""Quando il naviglio si mise in alto mare per proseguire dritto attraverso questo tratto pericoloso, l'aria si fece nuvolosa e iniziò a piovere"""
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","""Salì sul margine del fossato e sullo steccato, e se si potesse difendere da alto o passare in qualche modo oltre e scampare."""
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","""Ma l'intuizione è più alta. Perciò, dopo aver superato la grandezza dell'università, la stessa forma semplice vede nella visione profonda."""
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","""E se l'occhio è un membro nobile del corpo umano, allora la salutazione è un elemento nobile della lettera, che inoltre illuminare tutta la lettera come l'occhio illumina l'uomo."""
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","""I Tarentini, nati da quei di Sparta e originari della nobilissima città dei Greci."""
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","""Ulecois aveva un uomo ricco e nobile: Orgentore era chiamato per nome."""
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","""Tuttavia, poiché è nobile e alto abbattere il nemico, non è meno lodevole sapere avere misericordia."""
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","""Alexandri, è il genero e figlio di Faustina, un giovane gentile di Macedonia, ucciso in un luogo stretto senza guardia."""
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","""Alcuni sono ricchi e gentili, ma si lamentano di voler avere una moglie diversa da quella che hanno."""
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, avendo visto il popolo gentile, gli fu detto: ""uccidili e mangiali""."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","""Chiedeva che lo liberassi da quel debito, in cui lo aveva lasciato vincolato. Il gentiluomo acconsentì e lo liberò, e ne fece una carta."""
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","""L'oro verrà dal Nord. Noi siamo il popolo gentile congelato dal freddo del peccato, che un tempo fu soggiogato dalla tirannia del suo giogo."""
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","""Sta tra me e te: non puoi più restare con noi, altrimenti non lo tollero e non lo permetterò."""
