Author,Date,Region,Sentence,LLaMA
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","Ora farai tremare i cervi impauriti con diverse e varie paure, o il cinghiale colpito dallo spiedo cadere a terra."
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","Indaga la natura delle sostanze incorporee, che non interagiscono con i corpi, come Dio e le cose divine."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, il quale dispensa e giudica tutte le cose."
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","I poeti, parlando dei loro antenati, elogiano le loro virtù e raccontano in forma allegorica i loro difetti, quando qualcuno superava i limiti assegnati loro."
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","E quel bene, che è proprio e giusto, e che con virtù è raggiunto, è ciò che credo essere il bene unico."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti attaccavano un romano di giorno, era una meraviglia vedere come i pitoni si difendevano dal veleno, poiché li uccidevano con il loro morso."
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Il poeta dice: Oh, che grazia è vedere apertamente con gli occhi quando tu glielo fai diretró o nel sedere o in altro."
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","Ma questo fu anche colpa tua, poiché hai voluto cercare di vedere con i tuoi occhi materiali ciò che è invisibile."
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","Sì, è vero, ma non ti rispondo in questo momento, perché tu sei mio servo, oppure perché è tempo di vacanza, oppure perché non devo risponderti."
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,Occorreva che gli dessero un grande bene per lasciarlo andare via.
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio notevole per ogni persona che si guardi di fare e pensare tradimento: il servo, che gli aveva accusati, fu assolto e gli fu donata una grande quantità di denaro."
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,Sarebbe veramente vergognoso per lui se avesse commesso un errore al punto da meritare una punizione paragonabile a quella del servo e di Platone.
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostrò massimamente le sue forze, facendo di lui un re nella città in cui era nato, che regnò per un periodo lunghissimo."
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima muta la sua forza per il vincolo che si stabilisce con il corpo a cui si unisce.
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","sono due che non condividono lo stesso corpo, ma lo stesso spirito, cioè Dio e l'anima. Inoltre, come afferma San Paolo in un altro luogo: ""Chi si avvicina a Dio è uno spirito""."
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Ecco, come Lucano l'ha detto, ve lo racconteremo. Lì, quando l'anima di Pompeo sentì la luminosità del paradiso, allora si rese conto della sua grandezza."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Perciò è un gran dolore udire, quando l'uso delle armi e la fatica si rifiutano, con un grande disonore, come se fossero pecore."
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,Non era però dispiaciuto a Cristo sentire tali parole.
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","Hai potuto vedere e osservare la moltitudine di cui hai parlato e, poco fa, sentire le voci; le cui mani e lance mi sono appena riuscite a contenere."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","sentire storie belle e annusare fiori bellissimi, in quanti e quando è conveniente."
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino situato dietro il suo albergo, come se stesse riflettendo sulla risposta da dare."
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io vorrei essere là dove non posso essere fisicamente, e con la mia mente vi volo"
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"E subito tutta questa folla di uccelli prese il volo, inseguendo l'aquila."
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Anche capisce le ragioni del volo degli uccelli e di tutte le cose è in grado di render giudizio veritiero.
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,Ora ecco in che misura la sua superbia lo portava a volare in alto.
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Sono la Gorgone, e ho questo potere: posso volare nell'aria come un uccello."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando nella matricola si giura per Dio, per Cristo e per lo Spirito Santo"
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità, io ridico, come esortato da tuo comando, santissimo padre Agostino, le battaglie che già si sono svolte nel mondo..."
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Invece, saranno molto più meritevoli di considerazione al re, poiché il nome reale è sempre stato sacro e glorioso nella nostra città, e i loro compagni hanno condiviso il loro nome santo."
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che ti dia arie per il proposito santo e il voto di verginità, vedendo le sue lodi."
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".","San Agostino scrisse un libro intitolato ""La Città di Dio""."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non ho mai sentito dire che avesse avuto un maestro; ma il dono dello Spirito Santo non si limita a seguire regole.
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,A titolo di esempio: i mercanti fiorentini solitamente navigavano per recarsi nel continente.
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai riconosciuto nel cavaliere i segni che ti sono stati descritti, non meravigliarti della sua statura, poiché nelle battaglie sono più utili i coraggiosi che i robusti."
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, ancora più grave, è il fatto di essere catturato o di fuggire, lasciando il suo comune venire sconfitto."
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate veramente che, se non ci fossimo partiti tanto in fretta, saremmo tutti morti."
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui","Il Cretese Tarco, che avrebbe potuto fuggire in aiuto dei nemici, ma non osò lasciare i valorosi cavalieri achei, nobili e illustri, da cui poco tempo prima si era allontanato."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E l'addestramento a compiere opere grandissime, cioè a mantenere la pace, ad amare Dio e il prossimo, a fondare città, castelli e palazzi."
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio. ,Chiunque non sappia ancora amare il prossimo come se stesso già comincia a temere i giudizi di Dio.
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo averle spiegate le ali, non fugge velocemente, né l'cinghiale selvatico esce facilmente dalle reti in cui cade."
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Gli apersi, ma essi se ne andarono. E cosa c'è di più, che il tuo cuore rimanga chiuso al tuo sposo Cristo?"
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Ecco, poiché queste cose sono così, Caterina, e non puoi vivere qui senza pericolo, dubiti forse di partire per un paese e di condurre questa vita fuggendo attraverso i deserti?"
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, desiderando resistere contro la volontà del Senato per mantenere il tribunato, furono uccisi dalla folla, spinta dai padri coscritti."
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, a cui è stata affidata la difesa delle province e il successo di tutta la battaglia"
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Da Roma si generarono nuovi nemici; contro i quali ebbe una diversa sorte: inoltre, nella prima battaglia, quando il console Valerio era in carica, morirono 3.000 romani."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi ci siamo allontanati e partiti dalla città a causa del dovere, e tutti ci siamo allontanati anche per la fama e la buona sorte."
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,"Preghiate gli dei per me; i vostri preghieri hanno avuto valore: e se domandate chi ha avuto la fortuna di questa battaglia, io non fui sconfitto da lui."
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","La villa chiamata Vitermina era meta di molti principi di scherma che, per caso, accorrevano in quel tempo per vederla. Scipione, ritenendo che venissero per assaltare la sua proprietà, mise la sua famiglia al sicuro nella casa."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"contro di lui e contro le sue sorelle, contro il regno e contro il alto prestigio della sua stirpe e della sua famiglia"
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Dopo che la flotta si fu imbarkata e messa in alto mare per procedere dritta attraverso questo tratto pericoloso, il cielo si fece nuvoloso e iniziò a piovere."
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.","Salì sull'argine del fossato e sul muro, e cercò di difendersi o di passare oltre, nella speranza di evitare l'agguato."
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista","Ma l'occhio della ragione è più elevato. Infatti, una volta superata la grandezza dell'università, la stessa forma semplice si rivela nella visione profonda."
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo.","E se l'occhio è un membro nobile del corpo umano, allora la salutazione è un elemento nobile della lettera, e come l'occhio illuminava l'uomo, così essa illumina tutta la lettera."
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci.","I Tarentini, che erano originari di Sparta e figli della nobile città dei Greci fondata da loro."
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.","Era un uomo ricco e nobile, noto con il nome di Orgentore."
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia","Tuttavia, poiché abbattere il nemico è un'azione nobile e alta, è altrettanto lodabile sapere perdonare."
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, questo è il genero e il figlio di Fausone, una gentile giovane macedone, ucciso in un luogo ristretto senza guardia."
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.","Qualcuno è ricco e gentile, ma si lamenta dicendo che vorrebbe avere un'altra moglie diversa dalla sua."
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia","Pietro, quando gli fu mostrato il popolo gentile, gli fu detto: ""uccidi e mangia""."
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta.","Chiesi che lo liberasse dalle obbligazioni da cui era legato. Il gentiluomo acconsentì e lo liberò, redigendo un documento in proposito."
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia","L'oro verrà dallo zio. Chi siamo noi, se non un popolo gentile congelato dal freddo del peccato, che fu tenuto a lungo sotto il giogo della tirannia."
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.","Sia un ostacolo tra me e te: con noi non puoi più rimanere a lungo, altrimenti non lo tollererò e non lo permetterò."
