Author,Date,Region,Sentence,Translation,Ambiguities
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E si lamentavano dell’ingiustizia di Appio, compiangevano la sventurata bellezza della fanciulla e la disperata situazione del padre",necessità=situazione disperata
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quella battaglia, io ebbi sempre il coraggio di parlare di pace, e mi addolorava che non solo la pace venisse disprezzata...",
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda è solita talvolta a rendere esitanti per la prudenza, e la prima a causa dell'audacia può fare impazzire gli altri.",Ambiguità -> manca di contesto 
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,"Andò verso l'accampamento cartaginese, e tutta la legione lo seguì.",
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non volle considerarlo un nemico.  Questa è colei che diede il coraggio al profeta Natan per rimproverare con grande autorità quel re che aveva peccato.,
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Le armi e coloro che le portavano passarono tra i nemici, perciò se qualcuno non avesse avuto il coraggio di farlo, loro invece ce lo hanno avuto",Ambiguità -> la frase potrebbe essere difficile da fare per una LLM
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Da ciò ragionevolmente Giobbe è interpretato come ""colui che soffre""",
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.",Colui che più di ogni altro perdonò i cittadini e a cui voi potete sicuramente credere; poichè egli fu il vostro comandante.,
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Inutile domandarsi chi abbia scritto questo libro, è cosa certa e si deve fedelmente credere che l'autore sia lo spirito santo",
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse cosa così nota, sembrerebbe molto più incredibile: è certamente più facile credere a quello, ammesso che la natura umana possa accostarsi a quella divina, e il mutevole all'immutevole.",Ambiguità -> la parte del confronto potrebbe dare problemi
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"Che ricevessero il denaro dal camarlingo per le loro spese, e si recassero immediatamente alla presenza del papa per opporsi al passaggio dei cavalieri provenienti dalla Sicilia in Toscana.",
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò attentamente Achelao con grande stupore e disse così: ""O Achelao, ditemi perfavore come avete perso"" ",
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero nel nostro Signore Gesù di potervi mandare presto Timoteo, affinchè io possa stare tranquillo",
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,Senza dubbio il cinghiale è migliore dell'uomo nell'udito e la lince è migliore nella vista,
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"In un luogo vengono mandate delle truppe armate di lancia; Questa azione i cavalieri la chiamano ""capo di corpo"".",Capo di porco= formazione a cuneo
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,tende le reti per i cervi e sa bene in quali valli vive il furioso cinghiale selvatico ,
Rim. Am. Ovid. (B),1310/13,fior.,"Ora spaventerai li disidirosi cervi con varie e diverse paure, o lo porco cenghiare caggia in terra passato collo spiedo.","adesso spaventerai i cervi desiderosi con paure diverse, oppure il cinghiale cadrà a terra trafitto dallo spiedo ",
Brunetto Latini,1260-61,fior.,"tratta la natura delle cose incorporali le quali non conversano intra lle corpora, sì come Dio e le divine cose.","tratta la natura delle cose immateriali che non interagiscono con i corpi, come Dio e le cose divine ",
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, attraverso il quale tutte le cose vengono distribuite e giudicate",
Bonsignori,1375-77,umbr.-tosc.,"Unde gli poeti, parlando de lloro, dicono le virtute loro e dicono fabolosamente gli loro difetti, quando alcuna passava l'ordine a lloro deputato","Per questo i poeti quando parlano di loro, celebrano le loro virtu e descrivono in forma favolosa i loro difetti, quando qualcuno superava il limite del ruolo che gli era stato assegnato ",
Giovanni dalle Celle (?),1396,tosc.,"e quella cosa, la quale è diricta et onesta, e con virtute, quella sola penso essere lo bene.","Ritengo che solo ciò che è giusto, onesto e virtuoso sia il vero bene",
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","quando i serpenti mordevano di giorno qualche romano, era meraviglioso vedere come i Psilli lottassero contro il veleno, perché neutralizzavano completamente l'effetto del morso con la loro saliva.",
Chiose a Rim. Am. (B),1310-,fior.,"Dice il poeta: oh, che bella cosa è vedere apertamente con gli occhi quando tu glel fai diretro o in culo o in altro","Oh, che cosa meravigliosa è vedere chiaramente con i propri occhi quando glielo fai da dietro, nel sedere o in altro modo",
Cavalca,1330,tosc.,"ma pur questo fu colpa tua, però che volesti cercare di vedere con gli occhi corporali la cosa invisibile.","ma questa fu comunque  colpa tua, perche hai voluto cercare di vedere con i tuoi occhi ciò che è invisibile ",
Brunetto Latini,1260-61,fior.,"Vero è, ma non tine rispondo in questo tempo, perciò che ttu se' mio servo, o perciò ch' è tempo feriato, o perciò ch' io non debbo risponderti","è vero, ma io non ti rispondo adesso,",
Fatti de' Romani (H+R),1313,fior.,sì convene che lli desse grande avere perché · lasciasse andare via.,fu opportuno che gli desse una grossa somma di denaro affinche lo lasciasse andare via ,
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","come esempio memorabile per chiunque pensasse o tentasse di tradire, il servo che li aveva denunciati fu liberato e gli fu donata una grande quantità di denaro",
Valerio Massimo (red. Va),1336,tosc.,che sarebbe a llui cosa sconcia se ll'avesse commesso sì che lla colpa del servo e 'l gastigamento di Platone avesse meritato egualmente.,"sarebbe stato per lui un atto vergognoso se lo avesse commesso, tanto da meritare ugualmente sia la colpa del servo che il castigo di Platone",
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","mostrò al massimo la sua forza, diventando re di questa città di cui era nato servo, e mantenne il potere per lunghissimo tempo",
Brunetto Latini,1260-61,fior.,l' anima muta la sua forza per la propietade di quello corpo a cui ella si congiunge.,L'anima cambia la sua natura in base alle caratteristiche del corpo al quale si unisce ,
Cavalca,1308,tosc.,"sono due già non in una carne, ma in uno spirito, cioè Iddio, e l' anima. Onde in altro luogo dice S. Paolo: Chi s' accosta a Dio è uno spirito","Dio e l’anima non sono uniti fisicamente, ma spiritualmente. Per questo san Paolo dice che chi si unisce a Dio diventa un solo spirito con Lu",
Fatti de' Romani (H+R),1313,fior.,"per tanto che Lucano il disse, il vi racontiamo. Ivi, quando l'anima di Pompeo ebe sentito la chiarità di lasusso, ella sì cognobe prima in  grande","Lo raccontiamo perché lo ha detto Lucano. In quel luogo, quando l’anima di Pompeo vide la luce celeste, per la prima volta si rese conto della sua vera grandezza",
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","È doloroso da sentire quando gli uomini rifiutano di combattere e di faticare, e finiscono con l’essere come pecore, nel massimo disonore",
Bono Giamboni,1292,fior.,et nonn ebbe in fastido Cristo cotali parole d'udire.,E Cristo non si infastidì nel sentire quelle parole.,
Prima catilinaria volg. (red. A),1294,fior.,"la moltitudine de' quali tu ài potuto vedere e riguardare lo studio e poco dinanzi udire le voci, e lle cui mani e lance apena posso ritenere.","Hai potuto vedere quella folla, osservarne lo slancio e poco fa sentirne le grida; e io a fatica riesco a trattenere le loro mani e le loro lance",
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","Sentire di belle notizie e odorare fiori splendidi, quando e quanto si conviene.",
Filippo da Santa Croce,1323,tosc.,"Il re entrò in uno giardino dietro al suo albergo, quasi come s'egli andasse pensando alla risposta.","Il re entrò in un giardino dietro al suo alloggio, quasi come se stesse riflettendo sulla risposta",
Ceffi,1325,fior.,"Ma io disioso colà dove io non posso col corpo andare, con la mente vi volo","Ma io, desideroso di essere là dove non posso andare con il corpo, con la mente ci volo",
Guido da Pisa,1337,tosc.,Ed ecco di subito tutta questa turba degli uccelli si levò a volo dietro all'aquila,"All’improvviso, tutti gli uccelli si alzarono in volo seguendo l’aquila",
Grazia di Meo,1343,tosc.,Vede anche le ragioni del volo degli uccielli e di tutte le cose sa rendere vero giudicio.,Comprende anche le ragioni del volo degli uccelli e sa dare un giudizio vero su tutte le cose,
Zanobi da Strada,1361,tosc.,Or ecco quanto per la sua superbia questo uccello volava in alto.,"Ed ecco fino a che punto, per la sua superbia, questo uccello volava in alto",
Bonsignori,1375-77,umbr.-tosc.,"Gorgone, e ho questa proprietà che io volo per l'aire sì come uno ucello"".","Sono Gorgone, e ho questa caopacità, volo nell’aria come un uccello",
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","Quando vengono registrati nella matricola, giurano per Dio, e per Cristo, e per lo Spirito Santo.",
Bono Giamboni,1292,fior.,"per necessitade i' ridico ke, secondo il comandamento tuo, padre santo Agostino, le battaglie già state nel mondo [..]","Per necessità ripeto che, secondo il tuo comandamento, santo padre Agostino, le battaglie già avvenute nel mondo [..]",
Brunetto Latini,1294,fior.,"molto di maggiore memoria saranno faccendole al re, perciò che nella nostra cittade sempre fue santo e glorioso il nome reale, e sse furono compagni fue il loro nome santissimo;","Saranno ricordate molto di più se dedicate al re, perché nella nostra città il nome del re è sempre stato venerato e onorato; e se erano suoi compagni, anche i loro nomi meritano grandissimo rispetto",
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non desidero che tu diventi superba per il tuo voto di verginità, sentendo le lodi che se ne fanno",
Fatti de' Romani (H+R),1313,fior.,"Santo Agostino fece u· libro ch'avea nome ""Agostino Della Città di Dio"".",Sant’Agostino scrisse un libro intitolato La Città di Dio.,
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,"Gregorio. Non ho mai sentito che egli abbia avuto un maestro, il dono dello Spirito Santo non può essere soggetto ad alcuna legge.",
Brunetto Latini,1260-61,fior.,Verbigrazia: Mercatanti fiorentini passavano in nave per andare oltramare.,Ad esempio: mercanti fiorentini passavano in nave per andare al di là del mare.,
Bono Giamboni,1292,fior.,"Quando averai nel cavaliere i detti segni veduti non andare a grandezza caendo, perchè nelle battaglie sono più utili i forti che i grandi.","Quando avrai visto nel cavaliere i segni detti, non andare cercando grandezza, perché nelle battaglie sono più utili i forti rispetto ai grandi.",
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","E, cosa che è anche più grave, cioè essere preso o fuggire e lasciare che il proprio Comune venga sconfitto",
Filippo da Santa Croce,1323,tosc.,"Sappiate veramente, che se noi non ci fossimo sì affrettati del fuggire, noi saremmo tutti morti.","Sappiate davvero che se non ci fossimo affrettati tanto a fuggire, saremmo tutti morti.",
Deca quarta,1346,fior.,"Tarco cretense che in aiuto era alli nimici avrebbe potuto fuggire, ma la vergogna d'abbandonare li nobilissimi cavalieri della gente achea poco avanti da lui",Tarco di Creta che era in aiuto ai nemici sarebbe potuto sfuggire ma la vergogna di abbandonare i nobilissimi cavalieri del popolo acheo davanti a lui..,
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E la predisposizione a fare grandissime cose, cioè a mantenere la pace e amare Dio e il prossimo, a costruire città, castelli, dimore.",
Giovanni da San Miniato,1415,tosc.,colui che ancora non sa amare il prossimo come sé medesimo già cominci a temere i giudicii di Dio.,Chi ancora non è in grado di amare il prossimo come sé stesso inizi già da ora a temere il giudizio divino.,
Arte Am. Ovid. (B),1310/13,fior.,"L'ucello, poi che hae impaniate le ali, non fugge salvamente, né llo porco salvatico esce bene delle reti ove cade.","L'uccello, dopo che si ritrova con le ali intrappolate non fugge senza danno, né il porco selvatico esce bene dalle reti in cui cade",
Cavalca,1308,tosc.,"Io gli apersi, e quelli fuggitte. E che bisogno è, che lo cuore tuo stia chiuso al tuo sposo Cristo?","Io gli ho aperto e quello è fuggito. Che motivo c'è per cui il tuo cuore sta chiuso a Cristo, tuo sposo?",
Prima catilinaria volg. (red. A),1294,fior.,"E dunque, da che queste cose son così, Catellina, e tu non puoi buonamente qui dimorare, dubiti tu d'andartene in alcuna terra ed usare questa vita fuggendo per li diserti","Quindi, stando così le cose, Catellina (Catilina?)tu non puoi piacevolmente abitar qui, e sei in dubbio se andartene in un'altra terra e vivere fuggendo per i deserti",
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, volendo restare nella carica di tribuni contro la volontà del senato, furono uccisi dal popolo, spinti dai senatori.",
Bono Giamboni,1292,fior.,"i giovani, a cui il difendimento delle provincie, e la ventura di tutta la battaglia si commette","I giovani, a cui si affida la difesa delle province e l'esito della battaglia",
Bono Giamboni,1292,fior.,"da' monti de' Romani si feciero nuovi nemici; contra i quali è conbactuto cum diversa ventura: perké nela primaia battaglia, essendo consolo Valerio, MMMD ne moriro de' Romani;","Dai monti dei Romani giunsero nuovi nemici, contro cui si è combattuto con esiti mutevoli, perché nella prima battaglia, quand'era console valerio, morirono 3500 Romani",
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi, scacciati e divisi per debiti della città, e scacciati da fama e da buona sorte",
Simintendi,1333,tosc.,pregaste gli dei per me; e' vostri preghieri valsono: e se voi domandate chi ebbe ventura di questa battaglia; io non fui vinto da colui.,Pregaste gli dei per me; ed ebbero forza le vostre preghiere: e se chiedete chi ebbe la sorte di questa battaglia. Io non fui sconfitto da questo.,
Valerio Massimo (red. V1,1336,fior.,"una villa chiamata Vitermina, con ciò fosse cosa che piusori principi di scherani corressero per ventura a quel tempo a vederlo, Scipione, stimando che venissero per isforzarlo, allogò ne la casa","Una villa chiamata vitermina; accadde che moltissimi principi di banditi corressero a vederlo a quel tempo per caso, o Scipione, pensando di venire per forzarlo, e alloggiò nella casa (???)",
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"Contro di lui, contro le sue sorelle, contro il regno, e contro l'alto pregio della sua stirpe e della sua famiglia.",
Fatti de' Romani (H+R),1313,fior.,"Allora che il navilio si fue impinto e messo in alto mare per andare diritto per mezo questo trapasso periglioso, l'aira divenne nuvolosa e pioveginosa","Quando la nave si spinse verso l'alto mare per andar dritto attraverso questo passaggio pericoloso, il cielo si annuvolò e iniziò a piovere",
Filippo da Santa Croce,1323,tosc.,"ne salìo in su l'argine del fosso, e in su lo steccato, se da alto si potessero difendere, o per alcuna maniera passare oltre e scampare.",Salirono sull'argine del fosso e sullo steccato se dall'alto si potessero difendere o in qualche altro modo passare oltre e fuggire.,
Alberto della Piagentina,1330/32,fior.,"Ma l' occhio della intelligenza è più alto. Perciò che, passata la grandezza della universitade, quella medesima semplice forma vede nella sottil vista"," Ma l'occhio dell'intelligenza è più alto. Dunque, passata la grandezza dell'universale, vede quella medesima semplice forma attraverso la vista sottile.",
Brunetto Latini,1260-61,fior.,"Et se l' occhio è nobile membro del corpo dell' uomo, dunque la salutazione è nobile parte della pistola, c' altressì allumina tutta la lettera come l' occhio allumina l' uomo."," Se l'occhio è una nobile parte del corpo umano, il saluto è nobile parte dell'arma (?), che similmente illumina tutta la lettera come l'occhio illumina l'uomo.",
Bono Giamboni,1292,fior.,"Tarentini, i quali erano nati di quegli di Lacedemonia et facta da lloro nobile cittade de' Greci."," Abitanti di taranto, che discendono dalla terra lacedemone (Sparta) e che fondarono la loro nobile città greca",
Fatti de' Romani (H+R),1313,fior.,"Ulecois, ebe un uomo rico e nobile: Orgentore fue chiamato per nome.", Uleicos ebbe un uomo ricco e nobile che fu chiamato Orgentore.,
Valerio Massimo (red. Va),1336,tosc.,"però che, sse nobile cosa e alta è abatte il nimico, ampoi nonn è meno laudabile sapere avere misiricordia"," Anche se è cosa nobile e alta abbattere il nemico , tuttavia non è di minor elogio saper aver compassione",
Bono Giamboni,1292,fior.,"Alexandri, ciò è il genero e 'l figliuolo, da Phausonia, gentile iovane di Macedonia, stando in uno luogo strecto sanza guardia, fue morto.","Alessandro, che era sia il genero sia il figlio di Fausonia, una nobile giovane macedone, fu ucciso mentre si trovava in un luogo stretto e senza difesa.",
Grazia di Meo,1343,tosc.,"Alchuno è riccho e gentile, ma lamentasi che vorebbe avere altra moglie che quella ch'egli à.", Alchuno è ricco e nobile ma si lamenta perché vorrebbe avere una moglie diversa da quella che ha.,
Zanobi da Strada,1361,tosc.,"Pietro, essendogli mostrato in figura il populo Gentile, sì gli fu detto: ammazza, e mangia"," Quando a Pietro fu mostrato il ""volto"" del popolo gentile gli fu detto così: ammazza e mangia.",
Declamazioni di Seneca,1392,tosc.,"pregollo che lo liberasse di quella obbligazione, in che egli l' aveva lasciato ubbligato. El gentile uomo assentì, e liberollo, e fecene carta."," Lo pregò di liberarlo da quell'obbligo in cui era costretto. E l'uomo gentile assentì, lo liberò e lo mise per scritto",
Giovanni da San Miniato,1415,tosc.,"L'oro verrà dall'Aquilone. Che figuriamo noi per l'Aquilone, se non il populo Gentile congelato dal freddo del peccato, il qual populo tenne sotto il giogo della sua tirannia"," L'oro verrà dall'Aquilone. Che cosa rappresentiamo noi per l'Aquilone se non il popolo gentile congelato dal freddo del peccato, popolo che tenne sotto il giogo della sua tirannia.",
Prima catilinaria volg. (red. A),1294,fior.,"sia in mezzo tra me e te: con noi non puo' tu già più lungamente dimorare, ch'io non lo sofferrò e non lo lascerò.",Sia tra noi: tu non puoi più stare a lungo con noi: io non lo sopporterò e non lo permetterò,
